rank,smiles_candidate,qed,mw,logp,max_tanimoto,mean_tanimoto,n_similar_07,closest_ccle_drug,closest_ccle_smiles
1,CN1CCCN(C2CC2)CC(c2ccccc2NCCO)C1,0.8722592168202006,303.45000000000016,1.9743,0.2608695652173913,0.10260438481368489,0,UNC1215,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)NC6=CC=CC=C6
2,COC(=O)OCC(=O)OCC(=O)Nc1ccccc1N(C)C,0.7837335114938669,310.3060000000001,1.0172999999999994,0.27450980392156865,0.11373439403862694,0,Elesclomol,CN(C(=S)C1=CC=CC=C1)NC(=O)CC(=O)NN(C)C(=S)C2=CC=CC=C2
3,COC(=O)OCC(=O)OCC(=O)Nc1ccccc1C(=O)O,0.7326711364848031,311.2460000000001,0.6494999999999995,0.2708333333333333,0.11917655170551449,0,SB52334,C1=CC=C(C=C1)C2=C(C=CC=N2)C(=O)O
4,O=C(COC(=O)COC(=O)OC1CC1)Nc1ccccc1C(=O)O,0.7098400376989807,337.28400000000005,1.1820999999999997,0.24528301886792453,0.11280640752917702,0,SB52334,C1=CC=C(C=C1)C2=C(C=CC=N2)C(=O)O
5,CC(=O)Nc1ccccc1-c1ccccc1COC=O,0.8488694048267797,269.29999999999995,2.985000000000001,0.21739130434782608,0.11389620402549434,0,Entinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3
6,CC(=O)Nc1ccccc1C1CCCN1CC1CC1CO,0.8745899476530402,288.391,2.4103000000000008,0.22727272727272727,0.11960035055508865,0,Pevonedistat,C1CC2=CC=CC=C2[C@H]1NC3=C4C=CN(C4=NC=N3)[C@@H]5C[C@H]([C@H](C5)O)COS(=O)(=O)N
7,CC1C(c2ccccc2CO)CN(C)CCCN1CC1CC1CO,0.8647514375338933,332.48800000000006,1.9169000000000005,0.17721518987341772,0.0908246035625725,0,TubastatinA,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO
8,CCCCN1CCCN(C)CC(c2ccccc2CO)C1NC(C)=O,0.8279904723182717,347.5030000000001,2.1623,0.21518987341772153,0.11259725077225857,0,TubastatinA,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO
9,CC(C)CN1CCCN(C)CC(c2ccccc2CO)C1C,0.926288715194242,304.47800000000007,2.944500000000001,0.2,0.0958124859962103,0,TubastatinA,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO
10,CCCCN1CCCN(C)CC(c2ccccc2CO)CCCN1C,0.8848283003213517,347.5470000000002,3.3271000000000024,0.17721518987341772,0.09391730830997531,0,TubastatinA,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO
