gene,detection_reason,index_in_978
AC107016.2,^AC\d{6}\.,25
RP5-940J5.9,^RP\d+[-_],38
H19,known_ncrna,48
RP11-466H18.1,^RP\d+[-_],52
RP11-3P17.3,^RP\d+[-_],61
AC107016.1,^AC\d{6}\.,72
RP11-3P17.5,^RP\d+[-_],76
RP11-122C9.1,^RP\d+[-_],78
RP11-742N3.1,^RP\d+[-_],81
RP11-386G11.10,^RP\d+[-_],88
RP11-543P15.1,^RP\d+[-_],90
RP11-290D2.6,^RP\d+[-_],99
RP11-124N14.3,^RP\d+[-_],102
RP5-857K21.7,^RP\d+[-_],115
RP11-1143G9.4,^RP\d+[-_],137
MIR3917,^MIR\d,142
RP11-138I1.4,^RP\d+[-_],147
RP11-572P18.1,^RP\d+[-_],164
MIR1282,^MIR\d,166
VIM-AS1,[-]AS\d*$,175
RP11-632C17__A.1,^RP\d+[-_],214
AC021224.1,^AC\d{6}\.,237
RP11-425L10.1,^RP\d+[-_],247
AC004057.1,^AC\d{6}\.,252
RP11-175B9.3,^RP\d+[-_],280
RP11-498C9.2,^RP\d+[-_],295
RP11-161H23.5,^RP\d+[-_],308
RP11-641D5.1,^RP\d+[-_],313
RP11-475C16.1,^RP\d+[-_],358
RNU1-3,^RNU\d,361
RNU1-2,^RNU\d,363
RNU1-27P,^RNU\d,364
RNU1-1,known_ncrna,365
RNU1-4,^RNU\d,367
RNU1-28P,^RNU\d,370
RP11-761N21.2,^RP\d+[-_],372
AL139819.1,^AL\d{6}\.,382
RP11-673C5.1,^RP\d+[-_],388
RP3-416H24.1,^RP\d+[-_],404
Z98256.1,^Z\d{5}\.,423
RP11-334E6.12,^RP\d+[-_],460
C17orf76-AS1,[-]AS\d*$,468
AL162151.3,^AL\d{6}\.,470
RP11-442H21.2,^RP\d+[-_],478
RP11-571M6.7,^RP\d+[-_],510
RP4-706A16.3,^RP\d+[-_],524
RP11-20O24.4,^RP\d+[-_],538
GAS5,known_ncrna,545
RP11-323N12.5,^RP\d+[-_],565
RP5-977B1.11,^RP\d+[-_],571
RP11-490H24.5,^RP\d+[-_],583
AC132217.4,^AC\d{6}\.,586
RP11-169K16.7,^RP\d+[-_],589
RP11-67L3.5,^RP\d+[-_],599
MIR205HG,^MIR\d,642
RP11-116G8.5,^RP\d+[-_],694
RP11-510N19.5,^RP\d+[-_],701
AC022596.6,^AC\d{6}\.,710
RP11-301G19.1,^RP\d+[-_],713
AL590369.1,^AL\d{6}\.,716
RP4-614O4.11,^RP\d+[-_],727
AC019349.5,^AC\d{6}\.,735
RMRP,known_ncrna,753
SNORD3A,^SNORD\d,777
SNHG5,known_ncrna,790
RP11-887P2.3,^RP\d+[-_],823
MIR3652,^MIR\d,854
RP11-290L1.3,^RP\d+[-_],856
RNU2-2P,^RNU\d,867
SNORA67,^SNORA\d,871
Z82188.1,^Z\d{5}\.,876
RP3-417G15.1,^RP\d+[-_],890
AC022431.1,^AC\d{6}\.,922
RP11-1070N10.6,^RP\d+[-_],929
RP11-343H19.2,^RP\d+[-_],947
RP11-206M11.7,^RP\d+[-_],960
